Area,AspectRatio,Diameter,MeanGrey,StageX,StageY,O,Mgx,Alx,Si,S,Cax,Ti,Mn,Fe,Mg,Al,Ca
2.623436,1.209066,1.827639,74.49123,1.161767,0.15955,31.67177,1.667877,20.9153,0.4829832,1.172713,15.48877,0,5.548099,23.05248,0.055684493,0.63079515,0.313520357
0.2991638,1.25,0.6171767,95.61539,1.358967,0.25909,15.51496,0.4163893,12.59866,0.03180284,0.166781,0,0.9934726,0.8057929,69.47215,0.0352952,0.9647048,0
0.1380756,1.273158,0.419289,125.1667,1.23998,0.13778,11.10231,3.791737,6.947009,0.164419,0.02378738,0.2523762,0,5.4533,72.26507,0.371000543,0.614028026,0.01497143
0.115063,1.116656,0.3827568,109.4,1.431218,0.17029,22.39965,2.793886,15.33333,0.3349645,0.4470071,3.57974,0,2.316857,52.79457,0.148488254,0.736162845,0.115348902
0.1841008,1.369872,0.4841533,103.875,1.488227,0.1598,16.18967,4.5968,10.20001,0,0.1332424,0.2036833,0,4.033192,64.64341,0.329888004,0.661249727,0.008862268
1.219668,1.185829,1.246166,76.28302,1.667804,0.19902,28.76198,2.754639,20.83681,0.2164717,0.7454146,10.13748,0.3057668,6.150261,30.09117,0.099360407,0.678943907,0.221695686
0.115063,1.80278,0.3827568,136.6,1.612665,0.17461,6.506466,0.5238206,4.890352,0,0,7.140577,0.04426403,6.970979,73.92354,0.056502559,0.476518379,0.466979063
2.071134,1.189657,1.623899,86.54444,1.653259,0.15386,29.01342,2.177074,20.79247,0.3376723,3.859483,20.29633,0.604005,0.7378855,22.18167,0.065445849,0.564636555,0.369917596
0.3912142,1.45771,0.7057686,102.2941,1.71935,0.23983,13.08072,0.7700397,8.005249,0.04840164,0.7085935,5.336074,0.3077709,7.610706,64.13244,0.068528735,0.643559106,0.287912159
0.1380756,1.802765,0.419289,98.66666,1.826438,0.23557,12.27302,3.867079,8.086256,0,0,0.1571771,0,5.388719,70.22775,0.343219934,0.648322268,0.008457798
0.3682016,1.346268,0.6846961,91.25,2.000731,0.23202,22.68683,6.300619,15.417,0.2325718,1.34975,1.249904,0,6.620868,46.14246,0.300239628,0.663649331,0.036111041
0.1380756,1.270092,0.419289,123.8333,2.070532,0.18661,8.436163,2.891628,5.650707,0,0.1195479,0,0,7.145669,75.75629,0.361626628,0.638373372,0
0.09205039,1.414215,0.3423481,140,2.256116,0.25706,11.70427,3.973228,8.374552,0.2751957,0.01089512,0,0,7.423564,68.2383,0.344349942,0.655650058,0
0.3221764,1.34133,0.6404746,106.4286,2.334533,0.20101,14.14975,4.42465,8.322823,0.171979,0.3410993,0.2112911,0,3.141289,69.23711,0.366547824,0.622839827,0.010612348
0.460252,1.276309,0.7655135,91.55,2.396789,0.16957,16.49612,1.464308,13.87993,0.1364902,1.470757,6.895544,0.02220047,9.540229,50.09442,0.080530089,0.689551983,0.229917928
0.5292897,1.338994,0.8209218,96.56522,2.610246,0.17471,10.16359,0.08774478,6.072646,0.01950289,1.069741,4.415394,0,8.653347,69.51803,0.010635162,0.664897611,0.324467227
1.449794,1.111111,1.358652,76.22222,2.706661,0.25513,27.2933,0.8722621,19.01154,0.04366102,0.8041518,10.71517,0,6.442781,34.81712,0.035540552,0.699758933,0.264700515
0.5062771,1.264905,0.8028774,70.68182,2.779436,0.24126,24.07146,3.395218,18.629,0.07803256,1.117616,4.631243,0.0128621,8.563787,39.50079,0.147416214,0.730669747,0.121914039
